Ra,Va,Vw
5930,8.303937,0.193621
5940,8.293539,0.193948
5950,8.283168,0.194274
5960,8.272825,0.194601
5970,8.262509,0.194927
5980,8.252220,0.195254
5990,8.241959,0.195580
6000,8.231724,0.195907
6010,8.221517,0.196233
6020,8.211336,0.196560
6030,8.201181,0.196886
6040,8.191054,0.197213
6050,8.180952,0.197539
6060,8.170877,0.197866
6070,8.160829,0.198192
6080,8.150806,0.198519
6090,8.140809,0.198845
6100,8.130839,0.199172
6110,8.120894,0.199498
6120,8.110974,0.199825
6130,8.101081,0.200151
6140,8.091212,0.200478
6150,8.081369,0.200804
6160,8.071552,0.201131
6170,8.061759,0.201457
6180,8.051992,0.201784
6190,8.042250,0.202110
6200,8.032532,0.202437
6210,8.022839,0.202763
6220,8.013171,0.203090
6230,8.003528,0.203416
6240,7.993909,0.203743
6250,7.984314,0.204069
6260,7.974744,0.204396
6270,7.965197,0.204722
6280,7.955675,0.205049
6290,7.946177,0.205375
6300,7.936703,0.205702
6310,7.927252,0.206029
6320,7.917826,0.206355
6330,7.908423,0.206682
6340,7.899043,0.207008
6350,7.889687,0.207335
6360,7.880354,0.207661
6370,7.871044,0.207988
6380,7.861758,0.208314
6390,7.852495,0.208641
6400,7.843254,0.208967
6410,7.834037,0.209294
6420,7.824842,0.209620
6430,7.815670,0.209947
6440,7.806521,0.210273
6450,7.797394,0.210600
6460,7.788289,0.210926
6470,7.779207,0.211253
6480,7.770148,0.211579
6490,7.761110,0.211906
6500,7.752095,0.212232
6510,7.743101,0.212559
6520,7.734130,0.212885
6530,7.725180,0.213212
6540,7.716252,0.213538
6550,7.707346,0.213865
6560,7.698461,0.214191
6570,7.689598,0.214518
6580,7.680757,0.214844
6590,7.671936,0.215171
6600,7.663137,0.215497
6610,7.654359,0.215824
6620,7.645603,0.216150
6630,7.636867,0.216477
6640,7.628152,0.216803
6650,7.619459,0.217130
6660,7.610786,0.217456
6670,7.602133,0.217783
6680,7.593502,0.218109
6690,7.584891,0.218436
6700,7.576300,0.218762
6710,7.567730,0.219089
6720,7.559180,0.219415
6730,7.550651,0.219742
6740,7.542141,0.220068
6750,7.533652,0.220395
6760,7.525183,0.220722
6770,7.516734,0.221048
6780,7.508304,0.221375
6790,7.499895,0.221701
6800,7.491505,0.222028
6810,7.483135,0.222354
6820,7.474784,0.222681
6830,7.466453,0.223007
6840,7.458142,0.223334
6850,7.449850,0.223660
6860,7.441577,0.223987
6870,7.433323,0.224313
6880,7.425089,0.224640
6890,7.416874,0.224966
6900,7.408678,0.225293
6910,7.400500,0.225619
6920,7.392342,0.225946
6930,7.384202,0.226272
6940,7.376082,0.226599
6950,7.367980,0.226925
6960,7.359896,0.227252
6970,7.351831,0.227578
6980,7.343785,0.227905
6990,7.335757,0.228231
7000,7.327748,0.228558
7010,7.319756,0.228884
7020,7.311783,0.229211
7030,7.303828,0.229537
7040,7.295892,0.229864
7050,7.287973,0.230190
7060,7.280072,0.230517
7070,7.272190,0.230843
7080,7.264325,0.231170
7090,7.256477,0.231496
7100,7.248648,0.231823
7110,7.240836,0.232149
7120,7.233042,0.232476
7130,7.225265,0.232802
7140,7.217506,0.233129
7150,7.209764,0.233455
7160,7.202040,0.233782
7170,7.194333,0.234108
7180,7.186643,0.234435
7190,7.178970,0.234761
7200,7.171315,0.235088
7210,7.163676,0.235415
7220,7.156055,0.235741
7230,7.148450,0.236068
7240,7.140862,0.236394
7250,7.133292,0.236721
7260,7.125737,0.237047
7270,7.118200,0.237374
7280,7.110679,0.237700
7290,7.103175,0.238027
7300,7.095687,0.238353
7310,7.088216,0.238680
7320,7.080761,0.239006
7330,7.073323,0.239333
7340,7.065901,0.239659
7350,7.058495,0.239986
7360,7.051106,0.240312
7370,7.043732,0.240639
7380,7.036375,0.240965
7390,7.029033,0.241292
7400,7.021708,0.241618
7410,7.014398,0.241945
7420,7.007105,0.242271
7430,6.999827,0.242598
7440,6.992565,0.242924
7450,6.985318,0.243251
7460,6.978088,0.243577
7470,6.970873,0.243904
7480,6.963673,0.244230
7490,6.956489,0.244557
7500,6.949321,0.244883
7510,6.942167,0.245210
7520,6.935030,0.245536
7530,6.927907,0.245863
7540,6.920800,0.246189
7550,6.913708,0.246516
7560,6.906631,0.246842
7570,6.899569,0.247169
7580,6.892522,0.247495
7590,6.885490,0.247822
7600,6.878473,0.248148
7610,6.871471,0.248475
7620,6.864484,0.248801
7630,6.857512,0.249128
7640,6.850554,0.249454
7650,6.843611,0.249781
7660,6.836683,0.250108
7670,6.829769,0.250434
7680,6.822870,0.250761
7690,6.815985,0.251087
7700,6.809115,0.251414
7710,6.802259,0.251740
7720,6.795418,0.252067
7730,6.788591,0.252393
7740,6.781778,0.252720
7750,6.774979,0.253046
7760,6.768195,0.253373
7770,6.761425,0.253699
7780,6.754669,0.254026
7790,6.747926,0.254352
7800,6.741198,0.254679
7810,6.734484,0.255005
7820,6.727784,0.255332
7830,6.721097,0.255658
7840,6.714425,0.255985
7850,6.707766,0.256311
7860,6.701121,0.256638
7870,6.694489,0.256964
7880,6.687871,0.257291
7890,6.681267,0.257617
7900,6.674676,0.257944
7910,6.668099,0.258270
7920,6.661536,0.258597
7930,6.654985,0.258923
7940,6.648449,0.259250
7950,6.641925,0.259576
7960,6.635415,0.259903
7970,6.628918,0.260229
7980,6.622434,0.260556
7990,6.615963,0.260882
8000,6.609506,0.261209
8010,6.603062,0.261535
8020,6.596630,0.261862
8030,6.590212,0.262188
8040,6.583806,0.262515
8050,6.577414,0.262841
8060,6.571034,0.263168
8070,6.564668,0.263494
8080,6.558314,0.263821
8090,6.551973,0.264147
8100,6.545644,0.264474
8110,6.539329,0.264801
8120,6.533025,0.265127
8130,6.526735,0.265454
8140,6.520457,0.265780
8150,6.514192,0.266107
8160,6.507939,0.266433
8170,6.501698,0.266760
8180,6.495470,0.267086
8190,6.489255,0.267413
8200,6.483051,0.267739
8210,6.476860,0.268066
8220,6.470682,0.268392
8230,6.464515,0.268719
8240,6.458361,0.269045
8250,6.452218,0.269372
8260,6.446088,0.269698
8270,6.439970,0.270025
8280,6.433864,0.270351
8290,6.427770,0.270678
8300,6.421688,0.271004
8310,6.415618,0.271331
8320,6.409560,0.271657
8330,6.403514,0.271984
8340,6.397479,0.272310
8350,6.391456,0.272637
8360,6.385445,0.272963
8370,6.379446,0.273290
8380,6.373459,0.273616
8390,6.367483,0.273943
8400,6.361518,0.274269
8410,6.355565,0.274596
8420,6.349624,0.274922
8430,6.343695,0.275249
8440,6.337776,0.275575
8450,6.331869,0.275902
8460,6.325974,0.276228
8470,6.320090,0.276555
8480,6.314217,0.276881
8490,6.308356,0.277208
8500,6.302506,0.277534
8510,6.296667,0.277861
8520,6.290839,0.278187
8530,6.285022,0.278514
8540,6.279217,0.278840
8550,6.273422,0.279167
8560,6.267639,0.279494
8570,6.261867,0.279820
8580,6.256106,0.280147
8590,6.250355,0.280473
8600,6.244616,0.280800
8610,6.238888,0.281126
8620,6.233170,0.281453
8630,6.227463,0.281779
8640,6.221767,0.282106
8650,6.216082,0.282432
8660,6.210408,0.282759
8670,6.204744,0.283085
8680,6.199091,0.283412
8690,6.193449,0.283738
8700,6.187817,0.284065
8710,6.182196,0.284391
8720,6.176585,0.284718
8730,6.170985,0.285044
8740,6.165395,0.285371
8750,6.159816,0.285697
8760,6.154248,0.286024
8770,6.148689,0.286350
8780,6.143141,0.286677
8790,6.137604,0.287003
8800,6.132077,0.287330
8810,6.126560,0.287656
8820,6.121053,0.287983
8830,6.115557,0.288309
8840,6.110070,0.288636
8850,6.104594,0.288962
8860,6.099128,0.289289
8870,6.093673,0.289615
8880,6.088227,0.289942
8890,6.082791,0.290268
8900,6.077365,0.290595
8910,6.071950,0.290921
8920,6.066544,0.291248
8930,6.061148,0.291574
8940,6.055762,0.291901
8950,6.050386,0.292227
8960,6.045020,0.292554
8970,6.039664,0.292880
8980,6.034317,0.293207
8990,6.028981,0.293533
9000,6.023654,0.293860
9010,6.018336,0.294187
9020,6.013029,0.294513
9030,6.007731,0.294840
9040,6.002443,0.295166
9050,5.997164,0.295493
9060,5.991895,0.295819
9070,5.986635,0.296146
9080,5.981385,0.296472
9090,5.976145,0.296799
9100,5.970914,0.297125
9110,5.965692,0.297452
9120,5.960480,0.297778
9130,5.955277,0.298105
9140,5.950084,0.298431
9150,5.944900,0.298758
9160,5.939725,0.299084
9170,5.934560,0.299411
9180,5.929403,0.299737
9190,5.924256,0.300064
9200,5.919119,0.300390
9210,5.913990,0.300717
9220,5.908871,0.301043
9230,5.903761,0.301370
9240,5.898659,0.301696
9250,5.893567,0.302023
9260,5.888484,0.302349
9270,5.883410,0.302676
9280,5.878346,0.303002
9290,5.873290,0.303329
9300,5.868243,0.303655
9310,5.863205,0.303982
9320,5.858175,0.304308
9330,5.853155,0.304635
9340,5.848144,0.304961
9350,5.843141,0.305288
9360,5.838148,0.305614
9370,5.833163,0.305941
9380,5.828187,0.306267
9390,5.823219,0.306594
9400,5.818261,0.306920
9410,5.813311,0.307247
9420,5.808369,0.307573
9430,5.803437,0.307900
9440,5.798513,0.308226
9450,5.793597,0.308553
9460,5.788690,0.308879
9470,5.783792,0.309206
9480,5.778902,0.309533
9490,5.774021,0.309859
9500,5.769148,0.310186
9510,5.764284,0.310512
9520,5.759428,0.310839
9530,5.754581,0.311165
9540,5.749742,0.311492
9550,5.744911,0.311818
9560,5.740089,0.312145
9570,5.735275,0.312471
9580,5.730470,0.312798
9590,5.725672,0.313124
9600,5.720883,0.313451
9610,5.716103,0.313777
9620,5.711330,0.314104
9630,5.706566,0.314430
9640,5.701809,0.314757
9650,5.697061,0.315083
9660,5.692321,0.315410
9670,5.687590,0.315736
9680,5.682866,0.316063
9690,5.678150,0.316389
9700,5.673443,0.316716
9710,5.668743,0.317042
9720,5.664052,0.317369
9730,5.659368,0.317695
9740,5.654693,0.318022
9750,5.650025,0.318348
9760,5.645365,0.318675
9770,5.640713,0.319001
9780,5.636070,0.319328
9790,5.631434,0.319654
9800,5.626805,0.319981
9810,5.622185,0.320307
9820,5.617572,0.320634
9830,5.612968,0.320960
9840,5.608371,0.321287
9850,5.603781,0.321613
9860,5.599200,0.321940
9870,5.594626,0.322266
9880,5.590060,0.322593
9890,5.585501,0.322919
9900,5.580950,0.323246
9910,5.576407,0.323572
9920,5.571871,0.323899
9930,5.567343,0.324226
9940,5.562823,0.324552
9950,5.558310,0.324879
9960,5.553804,0.325205
9970,5.549306,0.325532
9980,5.544816,0.325858
9990,5.540333,0.326185
10000,5.535857,0.326511
10010,5.531389,0.326838
10020,5.526929,0.327164
10030,5.522475,0.327491
10040,5.518029,0.327817
10050,5.513591,0.328144
10060,5.509159,0.328470
10070,5.504736,0.328797
10080,5.500319,0.329123
10090,5.495910,0.329450
10100,5.491507,0.329776
10110,5.487113,0.330103
10120,5.482725,0.330429
10130,5.478345,0.330756
10140,5.473971,0.331082
10150,5.469605,0.331409
10160,5.465246,0.331735
10170,5.460895,0.332062
10180,5.456550,0.332388
10190,5.452212,0.332715
10200,5.447882,0.333041
10210,5.443558,0.333368
10220,5.439242,0.333694
10230,5.434933,0.334021
10240,5.430630,0.334347
10250,5.426335,0.334674
10260,5.422047,0.335000
10270,5.417765,0.335327
10280,5.413491,0.335653
10290,5.409223,0.335980
10300,5.404963,0.336306
10310,5.400709,0.336633
10320,5.396462,0.336959
10330,5.392222,0.337286
10340,5.387989,0.337612
10350,5.383762,0.337939
10360,5.379543,0.338265
10370,5.375330,0.338592
10380,5.371124,0.338919
10390,5.366925,0.339245
10400,5.362732,0.339572
10410,5.358546,0.339898
10420,5.354367,0.340225
10430,5.350195,0.340551
10440,5.346029,0.340878
10450,5.341870,0.341204
10460,5.337717,0.341531
10470,5.333571,0.341857
10480,5.329432,0.342184
10490,5.325300,0.342510
10500,5.321174,0.342837
10510,5.317054,0.343163
10520,5.312941,0.343490
10530,5.308835,0.343816
10540,5.304735,0.344143
10550,5.300641,0.344469
10560,5.296554,0.344796
10570,5.292474,0.345122
10580,5.288400,0.345449
10590,5.284332,0.345775
10600,5.280271,0.346102
10610,5.276216,0.346428
10620,5.272167,0.346755
10630,5.268125,0.347081
10640,5.264090,0.347408
10650,5.260060,0.347734
10660,5.256037,0.348061
10670,5.252020,0.348387
10680,5.248010,0.348714
10690,5.244006,0.349040
10700,5.240008,0.349367
10710,5.236016,0.349693
10720,5.232031,0.350020
10730,5.228051,0.350346
10740,5.224078,0.350673
10750,5.220112,0.350999
10760,5.216151,0.351326
10770,5.212196,0.351652
10780,5.208248,0.351979
10790,5.204306,0.352305
10800,5.200370,0.352632
